MSOA21CD,MSOA21NM,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,Shape_Area,mean_AI
E02000078,Bexley 014,5.155055779750000,0.000000000000000,11.372666405700000,2,6994.577876719999949,1487868.532790000084788,5.175594121310000
E02000079,Bexley 015,14.592076953999999,2.725592726800000,27.983793722900000,3,9358.716138929999943,1647916.476400000043213,14.053977611500001
E02000080,Bexley 016,7.234176055720000,0.000000000000000,15.198031205300000,2,7380.102646870000171,1691864.430910000111908,6.842164499500000
E02000081,Bexley 017,6.279132579050000,0.000000000000000,25.538296862199999,2,10101.470250799999121,2205755.692230000160635,7.316552502780000
E02000082,Bexley 018,4.033404975670000,0.000000000000000,9.820412019750000,1b,10044.061193100000310,1497341.046099999919534,4.279556200810000
E02000083,Bexley 019,2.881990867420000,0.000000000000000,10.515409979099999,1b,12113.494600899999568,3744166.524490000214428,3.813122475700000
E02000084,Bexley 020,4.105154906830000,0.000000000000000,17.772579447300000,2,12314.241552499999671,2593843.003469999879599,5.186344168650000
E02000085,Bexley 021,4.008744606230000,0.000000000000000,6.492119311210000,1b,8291.538937010000154,1623441.011159999994561,3.616313026920000
E02000086,Bexley 022,3.443055785090000,0.000000000000000,13.459904915999999,1b,9596.416676950000692,1488473.045649999985471,3.746755813940000
E02000087,Bexley 023,3.997409311960000,0.000000000000000,13.160128765700000,1b,11253.814268199999788,3716351.207570000085980,4.788464477650000
E02000088,Bexley 024,4.496577679300000,0.000000000000000,12.986127918999999,1b,11304.807322200000272,1998930.317130000097677,4.672730752970000
E02000089,Bexley 025,3.732250737560000,0.000000000000000,11.139585811500000,1b,7651.065954310000052,1367752.556390000041574,4.073878970010000
E02000090,Bexley 026,9.941305986800000,0.000000000000000,20.219918503399999,2,9945.192303820000234,1809790.235980000114068,9.168063285090000
E02000091,Bexley 027,6.361183442800000,0.000000000000000,17.176141984899999,2,13450.615993199999139,2733594.797189999837428,6.344964008590000
E02000092,Bexley 028,1.307058947270000,0.000000000000000,9.758373858920001,1a,14455.011864399999467,5991859.746969999745488,1.785285211410000
E02000093,Brent 001,8.035229954220000,1.944783626510000,18.491036823700000,2,7933.445320879999599,1377430.880570000037551,8.552252179400000
E02000094,Brent 002,8.170454952740000,0.000000000000000,16.070716936400000,2,6687.060478469999907,1163463.386080000083894,8.369735429770000
E02000095,Brent 003,10.108510043600001,0.000000000000000,23.481561726900001,2,10441.548722600000474,1548826.046970000024885,9.346616636300000
E02000096,Brent 004,8.900925225350001,0.000000000000000,25.375841776500000,2,6674.892416550000235,1635502.320009999908507,8.176853984330000
E02000097,Brent 005,3.931415710790000,0.000000000000000,13.165643227500000,1b,8507.257108989999324,1871325.550030000042170,3.727936789650000
E02000098,Brent 006,5.012603415770000,0.000000000000000,26.732831491300001,2,8067.628476660000160,1838609.758799999952316,6.917945331900000
E02000099,Brent 007,10.436907127900000,1.854217125290000,15.049708080300000,3,6039.867591680000260,1287141.870150000089779,10.125204959500000
E02000100,Brent 008,7.046778909500000,0.000000000000000,27.942415546599999,2,9272.115027269999700,2078546.156440000049770,9.938585404099999
E02000101,Brent 009,10.028865985099999,0.000000000000000,31.616614454200000,3,9024.732285570000386,1403911.854349999921396,13.196613219200000
E02000102,Brent 010,5.637186376740000,0.000000000000000,14.991502091999999,1b,9780.397152400000778,1359377.540800000075251,4.759149902880000
E02000103,Brent 011,7.513684374710000,0.000000000000000,15.115919451100000,2,7818.278124559999924,1771940.319260000018403,7.696766332010000
E02000104,Brent 012,11.564572759000001,5.947451707400000,36.076703932299999,3,5684.117231690000153,1107888.433100000023842,14.399628684300000
E02000105,Brent 013,7.439229074810000,0.000000000000000,21.851907498900001,2,8834.412943369999994,1369786.619089999934658,7.615975292070000
E02000106,Brent 014,12.929736158800001,0.000000000000000,22.978036518300001,3,7822.396273700000165,1340986.835900000063702,12.539131636900001
E02000107,Brent 015,13.684389925100000,0.000000000000000,25.017362660900002,3,5244.024705709999580,954653.304632000043057,12.414491695500001
E02000108,Brent 016,7.527122160410000,2.201668494180000,19.298672908400000,2,5507.440443620000224,812979.877812999999151,7.985749942220000
E02000110,Brent 018,9.273955393300000,2.422696978090000,19.788144660400000,2,6083.727301959999750,799131.796084000030532,9.931370156260000
E02000111,Brent 019,16.015483694800000,0.000000000000000,31.254787508400000,3,8429.608256870000332,1127825.785510000074282,13.944568979500000
E02000112,Brent 020,14.314968921200000,0.000000000000000,30.253079033999999,3,8677.555526239999381,1268789.599410000024363,14.883799425699999
E02000113,Brent 021,8.963532335700000,0.000000000000000,18.319466047199999,2,7545.941845190000095,1483450.206909999949858,9.207279149530001
E02000114,Brent 022,16.633763072299999,6.201858391660000,24.393771581300001,4,5270.346853840000222,613353.561417000018992,15.786492030900000
E02000115,Brent 023,15.150938803200001,5.612239699050000,35.258533440800001,4,6042.382376130000011,848782.408911000005901,15.824822364399999
E02000116,Brent 024,9.111221046830000,0.000000000000000,25.213547165300000,3,6610.534857310000007,1096324.732510000001639,11.673058167600001
E02000117,Brent 025,7.073900612390000,0.000000000000000,20.435949839100001,2,5439.924507130000165,890006.914197999984026,8.491224818130000
E02000118,Brent 026,6.862510992440000,0.000000000000000,28.998982454200000,2,8204.595546630000172,1233821.784160000039265,7.906378483190000
E02000119,Brent 027,8.591191772109999,0.000000000000000,20.616961002400000,2,9784.237004209999213,2571337.909409999847412,8.604154013170000
E02000120,Brent 028,18.664280609599999,12.985227174900000,31.731233399600001,4,3447.364056729999902,506158.104012000025250,19.583830623400001
E02000121,Brent 029,12.776577786000001,0.000000000000000,23.567156567200001,3,8570.458867990000726,1395479.854550000047311,12.034589416599999
E02000122,Brent 030,9.811051616260000,0.000000000000000,16.961680996700000,2,6910.919577190000382,1202650.939250000054017,9.823729745000000
E02000123,Brent 031,18.849877034300000,4.885640986180000,27.597906960700001,4,5827.141674319999765,1034985.452240000013262,17.491263087699998
E02000124,Brent 032,16.518326613199999,2.327443607110000,28.291225186799998,4,6777.667315030000282,1096469.946070000063628,16.164175168900002
E02000125,Brent 033,12.653086535700000,2.247060976420000,21.100940085200001,3,5604.868548790000204,765812.256490000057966,11.589652547500000
E02000126,Brent 034,21.006652827600000,16.987040655700000,30.083582147200001,5,3284.236992690000079,437832.852774999977555,21.540376031899999
E02000127,Bromley 001,5.202674562960000,0.000000000000000,10.784809014500000,1b,8859.790784220000205,2225360.451719999779016,4.594128000510000
E02000128,Bromley 002,3.142797176920000,0.000000000000000,10.803008489200000,1b,10552.276282700000593,2537041.952800000086427,3.339305500740000
E02000130,Bromley 004,7.863537813740000,1.666949113560000,19.550969649900001,2,8113.677064360000259,1486243.974769999971613,8.579229345150001
E02000131,Bromley 005,12.689376646600000,2.625840778410000,30.908094836899998,3,6099.096967100000256,1766584.812870000023395,14.108167104700000
E02000132,Bromley 006,8.625160522800000,1.572650533400000,20.057375943699999,2,8950.969944180000311,1737295.081329999957234,8.985671065140000
E02000133,Bromley 007,4.030324131450000,0.000000000000000,12.746700430100001,1b,18169.449880299998767,5976795.861920000053942,4.001277484450000
E02000134,Bromley 008,8.931134908650000,0.000000000000000,35.010182559299999,3,10665.300931499999933,1934993.799919999903068,11.900075852600001
E02000135,Bromley 009,12.366920005100001,0.000000000000000,17.677735274000000,3,6778.548286809999809,1156966.734560000011697,12.036707804200001
E02000136,Bromley 010,3.366749917900000,0.000000000000000,10.157217069900000,1b,11967.926488900000550,4558928.368680000305176,3.070981656460000
E02000137,Bromley 011,5.703135470470000,1.583441102470000,12.259616657400001,2,11072.057671099999425,1861237.915049999952316,6.473570942120000
E02000138,Bromley 012,5.222374680400000,0.000000000000000,18.898832498400001,2,12905.772712899999533,2084769.516700000036508,6.634124043440000
E02000139,Bromley 013,11.466773720000001,1.729267507440000,20.556470902800001,3,9908.661169630000586,1536175.441210000077263,10.809110166100000
E02000140,Bromley 014,5.575121536340000,1.657534791610000,14.785239503100000,2,9223.007528890000685,1887041.574160000076517,6.216906000450000
E02000141,Bromley 015,10.835747092000000,3.853229617520000,17.712514621299999,3,5806.679961550000371,933066.216092000016943,10.678123074500000
E02000142,Bromley 016,4.757680787960000,0.000000000000000,27.576492891800001,2,11062.491964000000735,1779640.090139999985695,6.576860536350000
E02000144,Bromley 018,18.462665763600000,2.187550498520000,35.614848575899998,4,12457.253378699999303,1984988.874300000024959,17.702724135800000
E02000145,Bromley 019,0.000000000000000,0.000000000000000,14.757356217900000,1a,18105.215607300000556,11280453.774800000712276,1.078039971140000
E02000146,Bromley 020,7.337818521940000,0.000000000000000,20.614745022699999,2,9290.058997750000344,1803654.804410000098869,7.175263484120000
E02000147,Bromley 021,3.637549385370000,0.000000000000000,15.685921638400000,1b,9644.584370959999433,2250489.893790000118315,3.775680195690000
E02000148,Bromley 022,3.736243508180000,0.000000000000000,13.535227512600001,1b,16880.198353499999939,2806801.204030000139028,4.742311050960000
E02000149,Bromley 023,7.757283479470000,0.000000000000000,14.858299658900000,2,10628.666895000000295,1878966.088530000066385,7.476344476540000
E02000150,Bromley 024,4.620651859620000,0.000000000000000,9.557546634170000,1b,12157.670450499999788,3076756.232280000112951,4.338747717370000
E02000151,Bromley 025,4.888775445810000,0.000000000000000,12.474873115299999,2,11884.939357100000052,2101616.905179999768734,5.942940691680000
E02000152,Bromley 026,3.790805059650000,0.000000000000000,10.351781022100001,1b,11611.041538499999660,2572930.703449999913573,3.994963661520000
E02000153,Bromley 027,4.234788333720000,0.000000000000000,10.561661695200000,1b,10301.018500800000766,2247866.467519999947399,4.584264720820000
E02000154,Bromley 028,12.216069092200000,0.000000000000000,29.564307342100001,3,11613.439033500000733,2086007.566159999929368,12.213337036400000
E02000155,Bromley 029,4.275771843720000,0.000000000000000,26.778118970300000,2,10813.024443899999824,1817975.375340000027791,6.367513550940000
E02000156,Bromley 030,3.663246353470000,0.000000000000000,9.510520635080001,1b,10627.848123499999929,3843173.193119999952614,3.654472713870000
E02000157,Bromley 031,4.956182655880000,0.000000000000000,28.794836134899999,2,9228.932066990000749,2447699.049219999928027,6.926111303540000
E02000158,Bromley 032,2.873864372710000,0.000000000000000,23.887244746299999,1b,10305.525120300000708,2159965.719820000231266,3.737348040640000
